날짜,북,동,남,서,강수량,풍속
2015-12-01,0.49,0.51,0,0,0,2.24
2015-12-02,0.64,0.36,0,0,13.5,2.38
2015-12-03,0.78,0,0,0.22,5,5.72
2015-12-04,0,0,0.91,0.09,0,1.05
2015-12-05,0,0,0.8,0.2,0,2.52
2015-12-06,0,0,0.84,0.16,0,0.97
2015-12-07,0.16,0,0,0.84,0,1.1
2015-12-08,0.41,0,0,0.59,0,1.23
2015-12-09,0,0.24,0.76,0,0,2.16
2015-12-10,0,0.31,0.69,0,0,2.37
2015-12-11,0.89,0.11,0,0,0,4.83
2015-12-12,0.19,0.81,0,0,0,1.2
2015-12-13,0.19,0.81,0,0,0,1.2
2015-12-14,0.19,0.81,0,0,2.5,2.3
2015-12-15,0.4,0.6,0,0,0,3.03
2015-12-16,0.36,0.64,0,0,0,3.32
2015-12-17,0.62,0.38,0,0,0,1.74
2015-12-18,0.62,0.38,0,0,0,0.9
2015-12-19,0,0.38,0.62,0,0,1.98
2015-12-20,0,0,0.28,0.72,0,1.05
2015-12-21,0,0.56,0.44,0,2,2.91
2015-12-22,0,0.47,0.53,0,0,1.95
2015-12-23,0,0.69,0.31,0,0,1.32
2015-12-24,0.91,0,0,0.09,0,1.1
2015-12-25,0,0,0.91,0.09,0,2.06
2015-12-26,0.73,0.27,0,0,1,2.27
2015-12-27,0.03,0.97,0,0,0,3.02
2015-12-28,0.81,0.19,0,0,0,1.59
2015-12-29,0,0.31,0.69,0,0,1.46
2015-12-30,0,0,0.16,0.84,2.5,2.21
2015-12-31,0.53,0.47,0,0,0,1.09
2016-01-01,0.91,0.09,0,0,0,0.92
2016-01-02,0.53,0,0,0.47,0,2.12
2016-01-03,0.28,0,0,0.72,0,1.01
2016-01-04,0.33,0,0,0.67,0,2.89
2016-01-05,0.28,0.72,0,0,0,1.22
2016-01-06,0.73,0.27,0,0,0,1.06
2016-01-07,0.22,0.78,0,0,0,1.62
2016-01-08,0.38,0.62,0,0,0,1.91
2016-01-09,0.47,0.53,0,0,0,1.48
2016-01-10,0.09,0,0,0.91,0,1.99
2016-01-11,0.56,0.44,0,0,0,2.68
2016-01-12,0.4,0.6,0,0,0,2.05
2016-01-13,0.5,0.5,0,0,0,1.91
2016-01-14,0,0,0.57,0.43,0,1.92
2016-01-15,0,0.5,0.5,0,0,2.07
2016-01-16,0,1,0,0,0,3.05
2016-01-17,0.91,0.09,0,0,0,2.71
2016-01-18,0.5,0,0,0.5,0,1.37
2016-01-19,0.33,0,0,0.67,0,5.72
2016-01-20,0.53,0.47,0,0,0,0.74
2016-01-21,0,0.09,0.91,0,0,0.75
2016-01-22,0.31,0,0,0.69,0,3.01
2016-01-23,0.22,0,0,0.78,0,4.67
2016-01-24,0.32,0,0,0.68,0,3.31
2016-01-25,0.12,0,0,0.88,0,0.64
2016-01-26,0.22,0.78,0,0,0,0.57
2016-01-27,0.43,0.57,0,0,0,0.31
2016-01-28,0.91,0.09,0,0,0,0.98
2016-01-29,0,0.16,0.84,0,0,2.28
2016-01-30,0.38,0,0,0.62,0,0.97
2016-01-31,0.56,0,0,0.44,0,3.12
2016-02-01,0.36,0,0,0.64,0,2.95
2016-02-02,0.47,0.53,0,0,0,0.31
2016-02-03,0.62,0.38,0,0,0,0.62
2016-02-04,0.24,0.76,0,0,0,0.23
2016-02-05,0.31,0,0,0.69,0,1.44
2016-02-06,0.29,0,0,0.71,0,3.11
2016-02-07,0.64,0,0,0.36,0,2.2
2016-02-08,0.62,0,0,0.38,0,1.04
2016-02-09,0.6,0,0,0.4,0,2.66
2016-02-10,0.93,0.07,0,0,0,1.1
2016-02-11,0,0.33,0.67,0,0,3.32
2016-02-12,0,1,0,0,18,2.26
2016-02-13,0,0.4,0.6,0,21,2.36
2016-02-14,0.69,0,0,0.31,2.5,4.74
2016-02-15,0.34,0,0,0.66,0,4.3
2016-02-16,0.5,0,0,0.5,0.5,1.17
2016-02-17,0.57,0,0,0.43,0,0.59
2016-02-18,0,0,0.91,0.09,0,5.02
2016-02-19,0.24,0,0,0.76,0,0.8
2016-02-20,0.72,0.28,0,0,0,0.48
2016-02-21,0.53,0,0,0.47,0,3.59
2016-02-22,0.28,0,0,0.72,0,0.88
2016-02-23,0.24,0,0,0.76,0.5,1.7
2016-02-24,0.31,0,0,0.69,0,2.15
2016-02-25,0.24,0,0,0.76,0,0.57
2016-02-26,0.41,0,0,0.59,0,1.9
