날짜,교통량
20170306,0.768
20170307,0.788
20170308,0.829
20170309,0.875
20170310,0.883
20170311,0.84
20170312,0.723
20170313,0.862
20170314,0.894
20170315,0.895
20170316,0.891
20170317,0.932
20170318,0.882
20170319,0.754
20170320,0.886
20170321,0.897
20170322,0.896
20170323,0.879
20170324,0.447
20170325,0.411
20170326,0.351
20170327,0.407
20170328,0.438
20170329,0.438
20170330,0.445
20170331,0.431
20170401,0.911
20170402,0.807
20170403,0.923
20170404,0.944
20170405,0.918
20170406,0.926
20170407,0.976
20170408,0.93
20170409,0.82
20170410,0.944
20170411,0.953
20170412,0.463
20170413,0.966
20170414,0.449
20170415,0.408
20170416,0.332
20170417,0.902
20170418,0.916
20170419,0.942
20170420,0.942
20170421,0.955
20170422,0.801
20170423,0.755
20170424,0.895
20170425,0.921
20170426,0.912
20170427,0.895
20170428,0.907
20170429,0.378
20170430,0.624
20170501,0.758
20170502,0.873
20170503,0.815
20170504,0.896
20170505,0.8
20170506,0.823
20170507,0.719
20170508,0.725
20170509,0.806
20170510,0.919
20170511,0.943
20170512,0.97
20170513,0.922
20170514,0.817
20170515,0.932
20170516,0.931
20170517,0.944
20170518,0.967
20170519,0.985
20170520,0.931
20170521,0.806
20170522,0.932
20170523,0.951
20170524,0.941
20170525,0.956
20170526,0.979
20170527,0.927
20170528,0.793
20170529,0.903
20170530,0.915
20170531,0.853
20170601,0.888
20170602,0.926
20170603,0.9
20170604,0.76
20170605,0.892
20170606,0.782
20170607,0.887
20170608,0.941
20170609,0.952
20170610,0.913
20170611,0.788
20170612,0.917
20170613,0.934
20170614,0.931
20170615,0.927
20170616,0.93
20170617,0.898
20170618,0.768
20170619,0.894
20170620,0.913
20170621,0.912
20170622,0.92
20170623,0.937
20170624,0.894
20170625,0.752
20170626,0.878
20170627,0.916
20170628,0.92
20170629,0.937
20170630,0.952
20170701,0.9
20170702,0.713
20170703,0.838
20170704,0.878
20170705,0.894
20170706,0.9
20170707,0.904
20170708,0.834
20170709,0.713
20170710,0.794
20170711,0.886
20170712,0.913
20170713,0.898
20170714,0.953
20170715,0.865
20170716,0.746
20170717,0.901
20170718,0.918
20170719,0.929
20170720,0.937
20170721,0.963
20170722,0.902
20170723,0.709
20170724,0.873
20170725,0.929
20170726,0.954
20170727,0.96
20170728,0.944
20170729,0.898
20170730,0.782
20170731,0.886
20170801,0.942
20170802,0.925
20170803,0.936
20170804,0.928
20170805,0.869
20170806,0.749
20170807,0.891
20170808,0.922
20170809,0.935
20170810,0.926
20170811,0.953
20170812,0.908
20170813,0.778
20170814,0.916
20170815,0.739
20170816,0.917
20170817,0.956
20170818,0.967
20170819,0.905
20170820,0.746
20170821,0.911
20170822,0.958
20170823,0.934
20170824,0.932
20170825,0.964
20170826,0.935
20170827,0.815
20170828,0.916
20170829,0.947
20170830,0.944
20170831,0.951
20170901,0.984
20170902,0.918
20170903,0.794
20170904,0.911
20170905,0.941
20170906,0.926
20170907,0.972
20170908,0.983
20170909,0.94
20170910,0.819
20170911,0.904
20170912,0.938
20170913,0.96
20170914,0.954
20170915,0.969
20170916,0.945
20170917,0.83
20170918,0.933
20170919,0.947
20170920,0.935
20170921,0.96
20170922,0.476
20170923,0.893
20170924,0.815
20170925,0.935
20170926,0.939
20170927,0.949
20170928,0.869
20170929,0.918
20170930,0.923
20171001,0.779
20171002,0.838
20171003,0.72
20171004,0.794
20171005,0.693
20171006,0.732
20171007,0.792
20171008,0.769
20171009,0.79
20171010,0.919
20171011,0.925
20171012,0.969
20171013,0.989
20171014,0.953
20171015,0.827
20171016,0.752
20171017,0.913
20171018,0.963
20171019,0.978
20171020,0.992
20171021,0.957
20171022,0.84
20171023,0.945
20171024,0.963
20171025,0.978
20171026,0.97
20171027,0.99
20171028,0.951
20171029,0.845
20171030,0.933
20171031,0.944
20171101,0.955
20171102,0.951
20171103,0.947
20171104,0.931
20171105,0.822
20171106,0.929
20171107,0.947
20171108,0.957
20171109,0.963
20171110,0.971
20171111,0.945
20171112,0.716
20171113,0.924
20171114,0.941
20171115,0.942
20171116,0.928
20171117,0.896
20171118,0.875
20171119,0.773
20171120,0.864
20171121,0.873
20171122,0.856
20171123,0.846
20171124,0.842
20171125,0.779
20171126,0.676
20171127,0.777
20171128,0.792
20171129,0.802
20171130,0.802
20171201,0.827
20171202,0.792
20171203,0.67
20171204,0.778
20171205,0.807
20171206,0.772
20171207,0.787
20171208,0.821
20171209,0.787
20171210,0.611
20171211,0.776
20171212,0.864
20171213,0.888
20171214,0.909
20171215,0.839
20171216,0.687
20171217,0.784
20171218,0.742
20171219,0.908
20171220,0.876
20171221,0.887
20171222,0.935
20171223,0.886
20171224,0.725
20171225,0.751
20171226,0.907
20171227,0.931
20171228,0.939
20171229,0.955
20171230,0.845
20171231,0.738
20180101,0.706
20180102,0.869
20180103,0.898
20180104,0.917
20180105,0.936
20180106,0.868
20180107,0.728
20180108,0.86
20180109,0.87
20180110,0.845
20180111,0.829
20180112,0.809
20180113,0.793
20180114,0.697
20180115,0.828
20180116,0.841
20180117,0.866
20180118,0.91
20180119,0.943
20180120,0.874
20180121,0.759
20180122,0.88
20180123,0.887
20180124,0.888
20180125,0.908
20180126,0.919
20180127,0.853
20180128,0.737
20180129,0.886
20180130,0.856
20180131,0.875
20180201,0.924
20180202,0.934
20180203,0.864
20180204,0.74
20180205,0.885
20180206,0.901
20180207,0.911
20180208,0.941
20180209,0.951
20180210,0.893
20180211,0.754
20180212,0.923
20180213,0.946
20180214,0.921
20180215,0.723
20180216,0.734
20180217,0.664
20180218,0.688
20180219,0.874
20180220,0.915
20180221,0.909
20180222,0.928
20180223,0.912
20180224,0.896
20180225,0.778
20180226,0.921
20180227,0.941
20180228,0.92
20180301,0.802
20180302,0.907
20180303,0.868
20180304,0.7
20180305,0.89
20180306,0.928
20180307,0.929
20180308,0.922
20180309,0.95
20180310,0.901
20180311,0.777
20180312,0.903
20180313,0.931
20180314,0.936
20180315,0.888
20180316,0.93
20180317,0.894
20180318,0.793
20180319,0.904
20180320,0.941
20180321,0.909
20180322,0.956
20180323,0.97
20180324,0.911
20180325,0.774
20180326,0.887
20180327,0.926
20180328,0.926
20180329,0.939
20180330,0.981
20180331,0.925
20180401,0.778
